subset,field,coverage
predictive_modeling_core,f_Effect_Size_WWC,0.810335560162789
predictive_modeling_core,s_Study_Design,0.9990785533287261
predictive_modeling_core,s_Study_Rating,1.0
predictive_modeling_core,s_Grade,0.9790370882285188
predictive_modeling_core,state_specific_available,0.6802580050679566
inference_ci_core,f_Effect_Size_WWC,0.810335560162789
inference_ci_core,f_p_Value_WWC,0.923366351839054
inference_ci_core,f_Outcome_Sample_Size,0.9993857022191507
inference_ci_core,s_Study_Design,0.9990785533287261
inference_ci_core,s_Study_Rating,1.0
geography_context_core,f_Effect_Size_WWC,0.810335560162789
geography_context_core,s_Study_Design,0.9990785533287261
geography_context_core,s_Study_Rating,1.0
geography_context_core,state_specific_available,0.6802580050679566
geography_context_core,urbanicity_available,0.6692006450126698
geography_context_core,school_type_available,0.5430392382707517
demographic_strict_subset,f_Effect_Size_WWC,0.810335560162789
demographic_strict_subset,s_Study_Design,0.9990785533287261
demographic_strict_subset,s_Study_Rating,1.0
demographic_strict_subset,s_Grade,0.9790370882285188
demographic_strict_subset,s_Demographics_Sample_FRPL,0.322506334945865
demographic_strict_subset,s_Demographics_Sample_ELL,0.393304154188743
demographic_strict_subset,state_specific_available,0.6802580050679566
